id,text,activity_label,quantity,unit
572,I rode my bike for 526 km.,Bike,526,km
573,I cycled 455 km today.,Bike,455,km
574,I took a flight covering 685 km.,Flight,685,km
575,I went for a 40 km walk.,Walking,40,km
576,I cycled 686 km today.,Bike,686,km
577,I travelled 915 km by train.,Train,915,km
578,I drove my car 893 km to the office.,Car,893,km
579,I ate a vegetarian meal.,Vegetarian Meal,1,meal
580,I had a chicken meal today.,Chicken Meal,1,meal
581,I flew 611 km today.,Flight,611,km
582,I took a train for 528 km today.,Train,528,km
583,I travelled 852 km by train.,Train,852,km
584,I had a chicken meal today.,Chicken Meal,1,meal
585,I used my computer for 12 hours.,Electricity,12,hour
586,I flew 589 km today.,Flight,589,km
587,I walked 941 km today.,Walking,941,km
588,I flew 167 km today.,Flight,167,km
589,I travelled 976 km by bus.,Bus,976,km
590,I took a bus for 703 km.,Bus,703,km
591,I ate chicken for lunch.,Chicken Meal,1,meal
592,I took a flight covering 643 km.,Flight,643,km
